Tipo,Projeto,Cliente Final,Status,Valor Geral,EPC_Type,EPC
UFV,Monte Verde 2,Sem cliente final,2024,4594991.67,EPC4, 
UFV,Morro dos Cruzeiros,Statkraft,2024,2427566.87,EPC4, 
REF,Refinaria Abreu e Lima,Petrobrás,2024,2694235.14,EPC4, 
UFV,Riacho da Serra (Opção Fence),Exus Brasil,2024,4997612.63,EPC4, 
UFV,Santa Eugênia,Statkraft,2024,4829741.81,EPC4, 
UFV,Santa Luzia,Rio Alto,2024,2786008.29,EPC4, 
EOL,Santo Agostinho,Engie,2024,0.0,EPC4, 
UFV,São Vitor (Opção Fence),Essentia,2024,2981764.52,EPC4, 
UFV,Serra do Mel 7,Voltalia,2024,5349318.28,EPC4, 
UFV,Serrita,Eco Energia,Ganhou,2558786.06,EPC4, 
UFV,Sobral,Cubico ,Perdeu,8577698.89,EPC4, 
UFV ,Sol de Várzea,Matrix,2024,2225674.49,EPC4, 
UFV,Sol do Agreste (Opção Fence),Atiaia,2024,6737698.81,EPC4, 
UFV,Sol Serena,Sem cliente final,2024,2490716.73,EPC4, 
EOL,Trairí,Engie,2024,3753045.34,EPC4, 
SE,Vista Alegre,Atlas  ,Perdeu,1108544.64,EPC4, 
OUT,Vista Alegre - Prédio O&M,Atlas,2024,334035.1,EPC4, 
UFV,Arapuã,Kroma,2025,4176536.65,EPC4, 
SE,Assú Solar,Engie,2025,897045.12,EPC4, 
UFV ,Aventura (GD?),Copel,2025,0.0,EPC4, 
UFV,Barro do Alto,Green Yellow,2025,6268280.69,EPC4, 
UFV,Bom Jardim 2 e 5,Qair,2025,1793174.78,EPC4, 
UFV,Bom Lugar,LigthSource,2025,4697505.67,EPC4, 
UFV ,Bonito PERIMETRAL,Neoenergia,2025,8901675.76,EPC4, 
UFV,Cobra I a X (UFV LINS?),Sem cliente final,2025,3370233.44,EPC4, 
UFV,Cruzeiro do  Sul,Newave,2025,4299962.44,EPC4, 
UFV,da Solatio,Sem cliente final,2025,0.0,EPC4, 
UFV,Humaita,Ibvgot,2025,3933497.83,EPC4, 
UFV,Lagoa  ,EDPR,2025,4479498.35,EPC4, 
UFV,Lagoa do Sol I a V,Enel Green Power,2025,3861257.66,EPC4, 
UFV,Sagarana,Essentia,2025,9910163.59,EPC4,Motrice
UFV,Sol do Araripe,Auren,2025,4396545.58,EPC4, 
UFV,Sol do Piauí ll,Auren,2025,2741894.32,EPC4, 
UFV,Sol do Piauí lll,Auren,2025,2779684.49,EPC4, 
EOL,Aroeira,Sem cliente final,Sem Previsão,0.0,EPC4, 
EOL,Brejinhos ,Sem cliente final,Sem Previsão,0.0,EPC4, 
UFV,Caatinga 23 (GD?),Helexia,Sem Previsão,0.0,EPC4, 
EOL ,Cajuína,Sem cliente final,Sem Previsão,0.0,EPC4, 
UFV ,Coração de Maria (GD?),Helexia,Sem Previsão,0.0,EPC4, 
EOL,Coxilha Negra,Eletrobrás,Sem Previsão,0.0,EPC4, 
UFV,Cristalina,X-Elio,Sem Previsão,5838264.66,EPC4, 
UFV,Fenix,EDPR,Sem Previsão,8699635.5,EPC4, 
OUT,Fenix Alimentação Autônoma,EDPR,Sem Previsão,5918711.39,EPC4, 
UFV ,Fótons de São Zacarias,Sem cliente final,Sem Previsão,3521143.23,EPC4, 
UFV,Genesis,Pontoon,Sem Previsão,4209413.37,EPC4, 
SE,Luziânia,StateGrid,Sem Previsão,1954877.52,EPC4, 
UFV,Mauriti,PowerChina,Sem Previsão,12877386.28,EPC4, 
UFV,Minas do Sol,EDPR,Sem Previsão,4581225.21,EPC4, 
EOL,Passagens,Sem cliente final,Sem Previsão,0.0,EPC4, 
EOL,Pedra Pintada,Enel,Sem Previsão,0.0,EPC4, 
SE,Piaui Níquel,Sem cliente final,Sem Previsão,1347322.4,EPC4, 
UFV,Serena,Sem cliente final,Sem Previsão,2490716.73,EPC4, 
UFV,Serra da Babilônia,Rio Energy,Sem Previsão,3606482.02,EPC4, 
EOL,Serra das Vacas,Sem cliente final,Sem Previsão,0.0,EPC4, 
EOL,Serra do Assuruá,Engie,Sem Previsão,0.0,EPC4, 
UFV ,Sol 345,Serena,Sem Previsão,2490716.73,EPC4, 
UFV,Sol de Várzea,Matrix,Sem Previsão,2225674.49,EPC4, 
TUN,Túnel Piraí,Light ,Sem Previsão,155887.24,EPC4, 
EOL,Ventos de Santa Luzia,Sem cliente final,Sem Previsão,0.0,EPC4, 
EOL,Ventos de São Roque,Sem cliente final,Sem Previsão,0.0,EPC4, 
EOL,Ventos de São Zacarias,Sem cliente final,Sem Previsão,0.0,EPC4, 
UFV,Arinos ,Sem cliente final,2024,5256618.11,EPC5, 
UFV ,Babilonia Centro,Casa dos Ventos,2024,4213668.78,EPC5, 
UFV ,Babilonia Sul,Casa dos Ventos,2024,4213668.78,EPC5, 
UFV,Boa Esperança,CEMIG,2024,2229727.26,EPC5, 
UFV,Bom Jardim 1 e 3,Qair,2024,3576177.88,EPC5, 
UFV,Cajú Flutuante,Elera ,2024,1192961.01,EPC5, 
UFV,Capitão Enéas,Sem cliente final,2024,2763781.5,EPC5, 
UFV,Eliseu Martins,Sem cliente final,2024,2900730.17,EPC5, 
